"codigo_municipio_completo","codigo_uf","nome_uf","codigo_municipio","nome_municipio","regiao","url","site_encontrado","url_confiavel","status_validacao_url","populacao_residente_2022","area_territorial_km2","densidade_demografica_hab_km2","chave_aleatoria","observacao"
"5107909","51",Mato Grosso,"07909",Sinop,Centro-Oeste,https://www.sinop.mt.gov.br/,Sim,Sim,Apto,"196312","3990,87","49,19","0,002508886",0
"5108402","51",Mato Grosso,"08402",Várzea Grande,Centro-Oeste,https://www.varzeagrande.mt.gov.br/,Sim,Sim,Apto,"300078","724,279","414,31","0,004229534",0
"5206602","52",Goiás,"06602",Cumari,Centro-Oeste,https://cumari.go.gov.br/,Sim,Sim,Apto,"2927","568,365","5,15","0,005838812",0
"5220454","52",Goiás,"20454",Senador Canedo,Centro-Oeste,https://senadorcanedo.go.gov.br/,Sim,Sim,Apto,"155635","247,005","630,09","0,006292154",0
"5207253","52",Goiás,"07253",Doverlândia,Centro-Oeste,https://doverlandia.go.gov.br/,Sim,Sim,Apto,"6956","3227,558","2,16","0,006417589",0
"5103437","51",Mato Grosso,"03437",Curvelândia,Centro-Oeste,https://www.curvelandia.mt.gov.br/,Sim,Sim,Apto,"4903","357,128","13,73","0,006579241",0
"5204656","52",Goiás,"04656",Campinaçu,Centro-Oeste,https://www.campinacu.go.gov.br/,Sim,Sim,Apto,"3708","1978,386","1,87","0,008315084",0
"5213905","52",Goiás,"13905",Mossâmedes,Centro-Oeste,http://mossamedes.go.gov.br/,Sim,Sim,Apto,"4654","684,882","6,8","0,010133321",0
"5002704","50",Mato Grosso do Sul,"02704",Campo Grande,Centro-Oeste,https://www.campogrande.ms.gov.br/,Sim,Sim,Apto,"898100","8082,978","111,11","0,011278",0
"5210802","52",Goiás,"10802",Itajá,Centro-Oeste,https://itaja.go.gov.br/,Sim,Sim,Apto,"4380","2082,736","2,1","0,012106377",0
"5007208","50",Mato Grosso do Sul,"07208",Rio Brilhante,Centro-Oeste,https://riobrilhante.ms.gov.br/,Sim,Sim,Apto,"37601","3983,562","9,44","0,015918488",0
"5214838","52",Goiás,"14838",Nova Crixás,Centro-Oeste,https://novacrixas.go.gov.br/,Sim,Sim,Apto,"12815","7308,681","1,75","0,016464116",0
"5213806","52",Goiás,"13806",Morrinhos,Centro-Oeste,https://morrinhos.go.gov.br/,Sim,Sim,Apto,"51351","2846,299","18,04","0,018167335",0
"5002902","50",Mato Grosso do Sul,"02902",Cassilândia,Centro-Oeste,https://cassilandia.ms.gov.br/,Sim,Sim,Apto,"20988","3658,252","5,74","0,01937162",0
"5001904","50",Mato Grosso do Sul,"01904",Bataguassu,Centro-Oeste,https://www.bataguassu.ms.gov.br/,Sim,Sim,Apto,"23031","2392,476","9,63","0,022671103",0
"5104807","51",Mato Grosso,"04807",Jaciara,Centro-Oeste,https://www.jaciara.mt.gov.br/,Sim,Sim,Apto,"28569","2429,678","11,76","0,024239065",0
"5205802","52",Goiás,"05802",Corumbá de Goiás,Centro-Oeste,https://corumbadegoias.go.gov.br/,Sim,Sim,Apto,"10562","1064,833","9,92","0,025575785",0
"5100102","51",Mato Grosso,"00102",Acorizal,Centro-Oeste,https://www.acorizal.mt.gov.br/,Sim,Sim,Apto,"5014","850,763","5,89","0,032308056",0
"5203939","52",Goiás,"03939",Buriti de Goiás,Centro-Oeste,https://buritidegoias.go.gov.br/,Sim,Sim,Apto,"2732","202,576","13,49","0,04300252",0
"5211800","52",Goiás,"11800",Jaraguá,Centro-Oeste,https://jaragua.go.gov.br/,Sim,Sim,Apto,"45223","1848,947","24,46","0,047034214",0
"5208806","52",Goiás,"08806",Goianira,Centro-Oeste,https://goianira.go.gov.br/,Sim,Sim,Apto,"71916","213,772","336,41","0,049244369",0
"5216908","52",Goiás,"16908",Pilar de Goiás,Centro-Oeste,https://pilar.go.gov.br/,Sim,Sim,Apto,"2328","906,048","2,57","0,050478264",0
"5003157","50",Mato Grosso do Sul,"03157",Coronel Sapucaia,Centro-Oeste,https://www.coronelsapucaia.ms.gov.br/,Sim,Sim,Apto,"14289","1023,727","13,96","0,051821147",0
"5105580","51",Mato Grosso,"05580",Marcelândia,Centro-Oeste,https://www.marcelandia.mt.gov.br/,Sim,Sim,Apto,"11396","12285,486","0,93","0,053155691",0
"5106828","51",Mato Grosso,"06828",Porto Esperidião,Centro-Oeste,https://www.portoesperidiao.mt.gov.br/,Sim,Sim,Apto,"10204","5835,278","1,75","0,055554401",0
"5101902","51",Mato Grosso,"01902",Brasnorte,Centro-Oeste,https://www.brasnorte.mt.gov.br/,Sim,Sim,Apto,"17004","15968,355","1,06","0,057516337",0
"5209457","52",Goiás,"09457",Guarinos,Centro-Oeste,https://guarinos.go.gov.br/,Sim,Sim,Apto,"2161","593,188","3,64","0,060272928",0
"5102504","51",Mato Grosso,"02504",Cáceres,Centro-Oeste,https://www.caceres.mt.gov.br/,Sim,Sim,Apto,"89681","24495,51","3,66","0,061070172",0
"5214861","52",Goiás,"14861",Nova Glória,Centro-Oeste,https://novagloria.go.gov.br/,Sim,Sim,Apto,"8310","411,753","20,18","0,062933634",0
"5107107","51",Mato Grosso,"07107",São José dos Quatro Marcos,Centro-Oeste,https://saojosedosquatromarcos.mt.gov.br/,Sim,Sim,Apto,"17849","1282,763","13,91","0,064629904",0
"5004106","50",Mato Grosso do Sul,"04106",Guia Lopes da Laguna,Centro-Oeste,https://www.guialopesdalaguna.ms.gov.br/site/,Sim,Sim,Apto,"9940","1225,426","8,11","0,067961194",0
"2203305","22",Piauí,"03305",Demerval Lobão,Nordeste,https://demervallobao.pi.gov.br/,Sim,Sim,Apto,"16352","216,807","75,42","0,000308856",0
"2504405","25",Paraíba,"04405",Conceição,Nordeste,https://conceicao.pb.gov.br/,Sim,Sim,Apto,"18260","580,65","31,45","0,00075747",0
"2703304","27",Alagoas,"03304",Inhapi,Nordeste,https://inhapi.al.gov.br/,Sim,Sim,Apto,"15167","372,019","40,77","0,000900064",0
"2900603","29",Bahia,"00603",Aiquara,Nordeste,https://www.aiquara.ba.gov.br/,Sim,Sim,Apto,"4447","167,877","26,49","0,00135199",0
"2933000","29",Bahia,"33000",Valente,Nordeste,https://valente.ba.gov.br/portal/,Sim,Sim,Apto,"24362","394,877","61,7","0,001840765",0
"2413904","24",Rio Grande do Norte,"13904",Taipu,Nordeste,https://www.taipu.rn.gov.br/,Sim,Sim,Apto,"11422","352,818","32,37","0,002139985",0
"2913705","29",Bahia,"13705",Inhambupe,Nordeste,https://inhambupe.ba.gov.br/,Sim,Sim,Apto,"33790","1082,283","31,22","0,003035748",0
"2922607","29",Bahia,"22607",Nilo Peçanha,Nordeste,https://nilopecanha.ba.gov.br/,Sim,Sim,Apto,"12063","388,936","31,02","0,004285414",0
"2933208","29",Bahia,"33208",Vera Cruz,Nordeste,https://veracruz.ba.gov.br/,Sim,Sim,Apto,"42529","297,537","142,94","0,005233927",0
"2513158","25",Paraíba,"13158",Santa Cecília,Nordeste,https://santacecilia.pb.gov.br/,Sim,Sim,Apto,"7670","217,577","35,25","0,005359746",0
"2614006","26",Pernambuco,"14006",Serrita,Nordeste,https://serrita.pe.gov.br/,Sim,Sim,Apto,"18207","1535,19","11,86","0,005595366",0
"2110906","21",Maranhão,"10906",São Francisco do Maranhão,Nordeste,https://saofranciscodomaranhao.ma.gov.br/,Sim,Sim,Apto,"12064","2284,217","5,28","0,006270052",0
"2407500","24",Rio Grande do Norte,"07500",Maxaranguape,Nordeste,https://www.maxaranguape.rn.gov.br/,Sim,Sim,Apto,"10255","132,129","77,61","0,006953699",0
"2209971","22",Piauí,"09971",São João do Arraial,Nordeste,https://saojoaodoarraial.pi.gov.br/,Sim,Sim,Apto,"8186","213,377","38,36","0,009688016",0
"2103174","21",Maranhão,"03174",Centro Novo do Maranhão,Nordeste,https://www.centronovo.ma.gov.br/,Sim,Sim,Apto,"16267","8401,003","1,94","0,00979613",0
"2313955","23",Ceará,"13955",Varjota,Nordeste,https://varjota.ce.gov.br/,Sim,Sim,Apto,"18105","179,239","101,01","0,010117978",0
"2609006","26",Pernambuco,"09006",Macaparana,Nordeste,https://macaparana.pe.gov.br/,Sim,Sim,Apto,"23879","108,049","221","0,011020208",0
"2510659","25",Paraíba,"10659",Parari,Nordeste,https://parari.pb.gov.br/,Sim,Sim,Apto,"1720","207,814","8,28","0,011139348",0
"2303006","23",Ceará,"03006",Caridade,Nordeste,https://caridade.ce.gov.br/,Sim,Sim,Apto,"16377","926,271","17,68","0,011296273",0
"2512705","25",Paraíba,"12705",Remígio,Nordeste,https://remigio.pb.gov.br/,Sim,Sim,Apto,"17885","183,459","97,49","0,012017221",0
"2929107","29",Bahia,"29107",São Felipe,Nordeste,https://saofelipe.ba.gov.br/,Sim,Sim,Apto,"20283","222,407","91,2","0,01217146",0
"2404408","24",Rio Grande do Norte,"04408",Grossos,Nordeste,https://www.grossos.rn.gov.br/,Sim,Sim,Apto,"9924","124,538","79,69","0,013497747",0
"2411007","24",Rio Grande do Norte,"11007",Rodolfo Fernandes,Nordeste,https://www.rodolfofernandes.rn.gov.br/,Sim,Sim,Apto,"4242","154,84","27,4","0,014288733",0
"2204352","22",Piauí,"04352",Geminiano,Nordeste,https://geminiano.pi.gov.br/,Sim,Sim,Apto,"5445","440,606","12,36","0,014697646",0
"2918803","29",Bahia,"18803",Laje,Nordeste,https://laje.ba.gov.br/,Sim,Sim,Apto,"21052","449,834","46,8","0,014827922",0
"2918555","29",Bahia,"18555",Jussari,Nordeste,https://jussari.ba.gov.br/,Sim,Sim,Apto,"5888","329,19","17,89","0,015081429",0
"2923704","29",Bahia,"23704",Paratinga,Nordeste,https://www.paratinga.ba.gov.br/,Sim,Sim,Apto,"29252","2624,998","11,14","0,015104391",0
"2923209","29",Bahia,"23209",Oliveira dos Brejinhos,Nordeste,https://oliveiradosbrejinhos.ba.gov.br/,Sim,Sim,Apto,"20715","3313,418","6,25","0,015397334",0
"2919058","29",Bahia,"19058",Lajedo do Tabocal,Nordeste,https://www.lagedodotabocal.ba.gov.br/,Sim,Sim,Apto,"7494","382,937","19,57","0,016766914",0
"2407104","24",Rio Grande do Norte,"07104",Macaíba,Nordeste,https://macaiba.rn.gov.br/,Sim,Sim,Apto,"82249","510,092","161,24","0,017288691",0
"2210375","22",Piauí,"10375",São Luis do Piauí,Nordeste,https://saoluisdopiaui.pi.gov.br/,Sim,Sim,Apto,"2309","217,924","10,6","0,018306375",0
"2202901","22",Piauí,"02901",Corrente,Nordeste,https://corrente.pi.gov.br/,Sim,Sim,Apto,"27278","3048,747","8,95","0,018826734",0
"2205359","22",Piauí,"05359",João Costa,Nordeste,https://joaocosta.pi.gov.br/,Sim,Sim,Apto,"2970","1800,23","1,65","0,019374717",0
"2308708","23",Ceará,"08708",Morada Nova,Nordeste,https://moradanova.ce.gov.br/,Sim,Sim,Apto,"61443","2763,971","22,23","0,019434521",0
"2702900","27",Alagoas,"02900",Girau do Ponciano,Nordeste,https://giraudoponciano.al.gov.br/,Sim,Sim,Apto,"36102","513,454","70,31","0,020582969",0
"2401453","24",Rio Grande do Norte,"01453",Baraúna,Nordeste,https://www.barauna.rn.gov.br/,Sim,Sim,Apto,"26913","825,681","32,59","0,021209563",0
"2706422","27",Alagoas,"06422",Pariconha,Nordeste,https://pariconha.al.gov.br/,Sim,Sim,Apto,"10573","254,719","41,51","0,022546673",0
"2414902","24",Rio Grande do Norte,"14902",Viçosa,Nordeste,https://www.vicosa.rn.gov.br/,Sim,Sim,Apto,"1822","37,905","48,07","0,023534819",0
"2405108","24",Rio Grande do Norte,"05108",Jandaíra,Nordeste,https://www.jandaira.rn.gov.br/,Sim,Sim,Apto,"6562","442,754","14,82","0,024428831",0
"2205250","22",Piauí,"05250",Jardim do Mulato,Nordeste,https://jardimdomulato.pi.gov.br/,Sim,Sim,Apto,"4180","510,226","8,19","0,024545645",0
"2911402","29",Bahia,"11402",Glória,Nordeste,https://gloria.ba.gov.br/,Sim,Sim,Apto,"15524","1566,609","9,91","0,025757137",0
"2915007","29",Bahia,"15007",Itaeté,Nordeste,https://itaete.ba.gov.br/,Sim,Sim,Apto,"13472","1331,822","10,12","0,026700062",0
"2103406","21",Maranhão,"03406",Coelho Neto,Nordeste,https://coelhoneto.ma.gov.br/,Sim,Sim,Apto,"41658","977,079","42,64","0,027671749",0
"2806008","28",Sergipe,"06008",Ribeirópolis,Nordeste,https://ribeiropolis.se.gov.br/,Sim,Sim,Apto,"17033","259,044","65,75","0,027690652",0
"2600203","26",Pernambuco,"00203",Afrânio,Nordeste,https://afranio.pe.gov.br/,Sim,Sim,Apto,"18674","1490,594","12,53","0,027738942",0
"2100501","21",Maranhão,"00501",Alto Parnaíba,Nordeste,https://altoparnaiba.ma.gov.br/,Sim,Sim,Apto,"11109","11127,384","1","0,028040739",0
"2102408","21",Maranhão,"02408",Cajapió,Nordeste,https://cajapio.ma.gov.br/,Sim,Sim,Apto,"10121","545,244","18,56","0,028350334",0
"2507408","25",Paraíba,"07408",Jericó,Nordeste,https://jerico.pb.gov.br/,Sim,Sim,Apto,"7516","177,356","42,38","0,028759395",0
"2210904","22",Piauí,"10904",Socorro do Piauí,Nordeste,https://socorrodopiaui.pi.gov.br/,Sim,Sim,Apto,"4141","761,854","5,44","0,030018572",0
"2702207","27",Alagoas,"02207",Coqueiro Seco,Nordeste,https://coqueiroseco.al.gov.br/,Sim,Sim,Apto,"5581","39,608","140,91","0,031164857",0
"2513901","25",Paraíba,"13901",São Bento,Nordeste,https://saobento.pb.gov.br/,Sim,Sim,Apto,"32235","245,84","131,12","0,031765704",0
"2926806","29",Bahia,"26806",Rio do Antônio,Nordeste,https://riodoantonio.ba.gov.br/,Sim,Sim,Apto,"13146","777,903","16,9","0,032125936",0
"2700102","27",Alagoas,"00102",Água Branca,Nordeste,https://aguabranca.al.gov.br/,Sim,Sim,Apto,"19008","468,229","40,6","0,033735857",0
"2310308","23",Ceará,"10308",Parambu,Nordeste,https://parambu.ce.gov.br/,Sim,Sim,Apto,"31445","2313,868","13,59","0,035801009",0
"2903201","29",Bahia,"03201",Barreiras,Nordeste,https://barreiras.ba.gov.br/,Sim,Sim,Apto,"159734","8051,274","19,84","0,036749871",0
"2923803","29",Bahia,"23803",Paripiranga,Nordeste,https://paripiranga.ba.gov.br/,Sim,Sim,Apto,"26604","442,186","60,16","0,037204437",0
"2805703","28",Sergipe,"05703",Propriá,Nordeste,https://propria.se.gov.br/,Sim,Sim,Apto,"26618","96,32","276,35","0,038627117",0
"2101608","21",Maranhão,"01608",Barra do Corda,Nordeste,https://barradocorda.ma.gov.br/,Sim,Sim,Apto,"84532","5187,673","16,29","0,038885283",0
"2912103","29",Bahia,"12103",Ibicaraí,Nordeste,https://ibicarai.ba.gov.br/,Sim,Sim,Apto,"21665","230,953","93,81","0,038914461",0
"2921302","29",Bahia,"21302",Milagres,Nordeste,https://milagres.ba.gov.br/,Sim,Sim,Apto,"11071","420,358","26,34","0,039502178",0
"2210656","22",Piauí,"10656",Sigefredo Pacheco,Nordeste,https://sigefredopacheco.pi.gov.br/,Sim,Sim,Apto,"9460","1031,101","9,17","0,040032682",0
"2211704","22",Piauí,"11704",Wall Ferraz,Nordeste,https://wallferraz.pi.gov.br/,Sim,Sim,Apto,"4059","270,427","15,01","0,040128058",0
"2708808","27",Alagoas,"08808",São Sebastião,Nordeste,https://saosebastiao.al.gov.br/,Sim,Sim,Apto,"31786","314,924","100,93","0,04059063",0
"2514701","25",Paraíba,"14701",São José do Sabugi,Nordeste,https://saojosedosabugi.pb.gov.br/,Sim,Sim,Apto,"4138","213,555","19,38","0,040751127",0
"2514602","25",Paraíba,"14602",São José do Bonfim,Nordeste,https://saojosedobonfim.pb.gov.br/,Sim,Sim,Apto,"3242","153,629","21,1","0,041229137",0
"2926202","29",Bahia,"26202",Riachão das Neves,Nordeste,https://riachaodasneves.ba.gov.br/,Sim,Sim,Apto,"21642","5977,931","3,62","0,041666579",0
"2207850","22",Piauí,"07850",Pavussu,Nordeste,https://pavussu.pi.gov.br/,Sim,Sim,Apto,"3628","1090,697","3,33","0,04263825",0
"2301851","23",Ceará,"01851",Banabuiú,Nordeste,https://banabuiu.ce.gov.br/,Sim,Sim,Apto,"17195","1080,986","15,91","0,042876358",0
"2902500","29",Bahia,"02500",Baianópolis,Nordeste,https://baianopolis.ba.gov.br/,Sim,Sim,Apto,"13614","3320,723","4,1","0,043630422",0
"2901106","29",Bahia,"01106",Amélia Rodrigues,Nordeste,https://ameliarodrigues.ba.gov.br/,Sim,Sim,Apto,"24138","166,872","144,65","0,044056054",0
"2911303","29",Bahia,"11303",Gentio do Ouro,Nordeste,https://gentiodoouro.ba.gov.br/,Sim,Sim,Apto,"10884","3817,946","2,85","0,044323056",0
"2100956","21",Maranhão,"00956",Arame,Nordeste,https://arame.ma.gov.br/,Sim,Sim,Apto,"25517","2976,039","8,57","0,044696622",0
"2201507","22",Piauí,"01507",Batalha,Nordeste,https://batalha.pi.gov.br/,Sim,Sim,Apto,"26300","1589,01","16,55","0,046040745",0
"2100436","21",Maranhão,"00436",Alto Alegre do Maranhão,Nordeste,https://altoalegredomaranhao.ma.gov.br/,Sim,Sim,Apto,"24048","392,75","61,23","0,046915295",0
"2109908","21",Maranhão,"09908",Santa Inês,Nordeste,https://santaines.ma.gov.br/,Sim,Sim,Apto,"85014","786,689","108,07","0,047817883",0
"2604403","26",Pernambuco,"04403",Chã de Alegria,Nordeste,https://chadealegria.pe.gov.br/,Sim,Sim,Apto,"12984","49,327","263,22","0,048641586",0
