"id_log","rodada","sessao","codigo_municipio_completo","ferramenta","tentativa","url_enviada","url_final","dominio_final","houve_redirecionamento","titulo_pagina","inicio_em","fim_em","duracao_segundos","status_tentativa","nota_extraida","nota_bruta","caminho_pdf","caminho_csv","caminho_print","caminho_json","mensagem_erro","traceback_resumido","criado_em"
1,r00,"2026-06-20_00-25-00__validacao_tcc_unifal_r00","5203939",amaweb,1,https://buritidegoias.go.gov.br/,https://amaweb.unifesp.br/avaliador/results/https%3A%2F%2Fburitidegoias.go.gov.br%2F,amaweb.unifesp.br,1,AMAWeb | Avaliador,2026-06-20 00:25:15.000,2026-06-20 00:26:00.000,45.07,sucesso,7.5,"7,5",/media/serv-bot/cebece73-ca34-45fa-ba0e-9a1a1807e5c3/TCC_Unifal/Evidencias_TCC_Unifal/relatorios_ferramentas/2026-06-20_00-25-00__validacao_tcc_unifal_r00/amaweb/buriti-de-goias-goias-5203939/buriti-de-goias_goiás_5203939_r00_amaweb_t1_20260620_002559.pdf,,,/media/serv-bot/cebece73-ca34-45fa-ba0e-9a1a1807e5c3/TCC_Unifal/Processamento_TCC_Unifal/sessoes/2026-06-20_00-25-00__validacao_tcc_unifal_r00/json/r00_5203939_49c814da.json,,,2026-06-20 00:26:00.000
2,r00,"2026-06-20_00-25-00__validacao_tcc_unifal_r00","1200179",amaweb,1,https://www.capixaba.ac.gov.br/,https://amaweb.unifesp.br/avaliador/results/https%3A%2F%2Fwww.capixaba.ac.gov.br%2F,amaweb.unifesp.br,1,AMAWeb | Avaliador,2026-06-20 00:25:14.000,2026-06-20 00:26:09.000,54.81,sucesso,6.1,"6,1",/media/serv-bot/cebece73-ca34-45fa-ba0e-9a1a1807e5c3/TCC_Unifal/Evidencias_TCC_Unifal/relatorios_ferramentas/2026-06-20_00-25-00__validacao_tcc_unifal_r00/amaweb/capixaba-acre-1200179/capixaba_acre_1200179_r00_amaweb_t1_20260620_002609.pdf,,,/media/serv-bot/cebece73-ca34-45fa-ba0e-9a1a1807e5c3/TCC_Unifal/Processamento_TCC_Unifal/sessoes/2026-06-20_00-25-00__validacao_tcc_unifal_r00/json/r00_1200179_9cc651b6.json,,,2026-06-20 00:26:09.000
3,r00,"2026-06-20_00-25-00__validacao_tcc_unifal_r00","5203939",accessmonitor,1,https://buritidegoias.go.gov.br/,https://buritidegoias.go.gov.br/,buritidegoias.go.gov.br,0,Prefeitura Municipal de Buriti de Goiás,2026-06-20 00:26:11.000,2026-06-20 00:26:23.000,12.24,sucesso,7.2,"7,2",,,,/media/serv-bot/cebece73-ca34-45fa-ba0e-9a1a1807e5c3/TCC_Unifal/Evidencias_TCC_Unifal/relatorios_ferramentas/2026-06-20_00-25-00__validacao_tcc_unifal_r00/accessmonitor/buriti-de-goias-goias-5203939/buriti-de-goias_goiás_5203939_r00_accessmonitor_t1_20260620_002611.json,,,2026-06-20 00:26:23.000
4,r00,"2026-06-20_00-25-00__validacao_tcc_unifal_r00","1200179",accessmonitor,1,https://www.capixaba.ac.gov.br/,https://www.capixaba.ac.gov.br/,www.capixaba.ac.gov.br,0,Prefeitura de Capixaba,2026-06-20 00:26:20.000,2026-06-20 00:26:41.000,20.64,sucesso,6.1,"6,1",,,,/media/serv-bot/cebece73-ca34-45fa-ba0e-9a1a1807e5c3/TCC_Unifal/Evidencias_TCC_Unifal/relatorios_ferramentas/2026-06-20_00-25-00__validacao_tcc_unifal_r00/accessmonitor/capixaba-acre-1200179/capixaba_acre_1200179_r00_accessmonitor_t1_20260620_002620.json,,,2026-06-20 00:26:41.000
5,r00,"2026-06-20_00-25-00__validacao_tcc_unifal_r00","5204656",amaweb,1,https://www.campinacu.go.gov.br/,https://amaweb.unifesp.br/avaliador/results/https%3A%2F%2Fwww.campinacu.go.gov.br%2F,amaweb.unifesp.br,1,AMAWeb | Avaliador,2026-06-20 00:26:27.000,2026-06-20 00:27:07.000,40.05,sucesso,6.9,"6,9",/media/serv-bot/cebece73-ca34-45fa-ba0e-9a1a1807e5c3/TCC_Unifal/Evidencias_TCC_Unifal/relatorios_ferramentas/2026-06-20_00-25-00__validacao_tcc_unifal_r00/amaweb/campinacu-goias-5204656/campinacu_goiás_5204656_r00_amaweb_t1_20260620_002707.pdf,,,/media/serv-bot/cebece73-ca34-45fa-ba0e-9a1a1807e5c3/TCC_Unifal/Processamento_TCC_Unifal/sessoes/2026-06-20_00-25-00__validacao_tcc_unifal_r00/json/r00_5204656_1a4a6b79.json,,,2026-06-20 00:27:07.000
6,r00,"2026-06-20_00-25-00__validacao_tcc_unifal_r00","5204656",accessmonitor,1,https://www.campinacu.go.gov.br/,https://www.campinacu.go.gov.br/,www.campinacu.go.gov.br,0,"Prefeitura de Campinaçu – Um novo tempo, uma nova história.",2026-06-20 00:27:19.000,2026-06-20 00:27:27.000,8.24,sucesso,6.9,"6,9",,,,/media/serv-bot/cebece73-ca34-45fa-ba0e-9a1a1807e5c3/TCC_Unifal/Evidencias_TCC_Unifal/relatorios_ferramentas/2026-06-20_00-25-00__validacao_tcc_unifal_r00/accessmonitor/campinacu-goias-5204656/campinacu_goiás_5204656_r00_accessmonitor_t1_20260620_002719.json,,,2026-06-20 00:27:27.000
7,r00,"2026-06-20_00-25-00__validacao_tcc_unifal_r00","5205802",amaweb,1,https://corumbadegoias.go.gov.br/,https://amaweb.unifesp.br/avaliador/results/https%3A%2F%2Fcorumbadegoias.go.gov.br%2F,amaweb.unifesp.br,1,AMAWeb | Avaliador,2026-06-20 00:27:31.000,2026-06-20 00:27:57.000,26.54,sucesso,7.4,"7,4",/media/serv-bot/cebece73-ca34-45fa-ba0e-9a1a1807e5c3/TCC_Unifal/Evidencias_TCC_Unifal/relatorios_ferramentas/2026-06-20_00-25-00__validacao_tcc_unifal_r00/amaweb/corumba-de-goias-goias-5205802/corumba-de-goias_goiás_5205802_r00_amaweb_t1_20260620_002757.pdf,,,/media/serv-bot/cebece73-ca34-45fa-ba0e-9a1a1807e5c3/TCC_Unifal/Processamento_TCC_Unifal/sessoes/2026-06-20_00-25-00__validacao_tcc_unifal_r00/json/r00_5205802_7cf4a7a6.json,,,2026-06-20 00:27:57.000
8,r00,"2026-06-20_00-25-00__validacao_tcc_unifal_r00","5205802",accessmonitor,1,https://corumbadegoias.go.gov.br/,https://corumbadegoias.go.gov.br/,corumbadegoias.go.gov.br,0,Prefeitura de Corumbá de Goiás,2026-06-20 00:28:10.000,2026-06-20 00:28:16.000,6.29,sucesso,7.4,"7,4",,,,/media/serv-bot/cebece73-ca34-45fa-ba0e-9a1a1807e5c3/TCC_Unifal/Evidencias_TCC_Unifal/relatorios_ferramentas/2026-06-20_00-25-00__validacao_tcc_unifal_r00/accessmonitor/corumba-de-goias-goias-5205802/corumba-de-goias_goiás_5205802_r00_accessmonitor_t1_20260620_002810.json,,,2026-06-20 00:28:16.000
9,r00,"2026-06-20_00-25-00__validacao_tcc_unifal_r00","2700102",amaweb,1,https://aguabranca.al.gov.br/,https://amaweb.unifesp.br/avaliador/results/https%3A%2F%2Faguabranca.al.gov.br%2F,amaweb.unifesp.br,1,AMAWeb | Avaliador,2026-06-20 00:25:15.000,2026-06-20 00:28:27.000,192.83,falha_de_carregamento,,,/media/serv-bot/cebece73-ca34-45fa-ba0e-9a1a1807e5c3/TCC_Unifal/Evidencias_TCC_Unifal/relatorios_ferramentas/2026-06-20_00-25-00__validacao_tcc_unifal_r00/amaweb/agua-branca-alagoas-2700102/agua-branca_alagoas_2700102_r00_amaweb_t1_20260620_002827.pdf,,,/media/serv-bot/cebece73-ca34-45fa-ba0e-9a1a1807e5c3/TCC_Unifal/Processamento_TCC_Unifal/sessoes/2026-06-20_00-25-00__validacao_tcc_unifal_r00/json/r00_2700102_05d402b4.json,falha_de_carregamento,,2026-06-20 00:28:27.000
10,r00,"2026-06-20_00-25-00__validacao_tcc_unifal_r00","2700102",amaweb,2,https://aguabranca.al.gov.br/,https://amaweb.unifesp.br/avaliador/results/https%3A%2F%2Faguabranca.al.gov.br%2F,amaweb.unifesp.br,1,AMAWeb | Avaliador,2026-06-20 00:28:42.000,2026-06-20 00:28:51.000,8.24,sucesso,5.7,"5,7",/media/serv-bot/cebece73-ca34-45fa-ba0e-9a1a1807e5c3/TCC_Unifal/Evidencias_TCC_Unifal/relatorios_ferramentas/2026-06-20_00-25-00__validacao_tcc_unifal_r00/amaweb/agua-branca-alagoas-2700102/agua-branca_alagoas_2700102_r00_amaweb_t2_20260620_002850.pdf,,,/media/serv-bot/cebece73-ca34-45fa-ba0e-9a1a1807e5c3/TCC_Unifal/Processamento_TCC_Unifal/sessoes/2026-06-20_00-25-00__validacao_tcc_unifal_r00/json/r00_2700102_05d402b4.json,,,2026-06-20 00:28:51.000
